class,org,org_type,pi_first,pi_sur,pclass,status,owner,end,grant,scheme,start,total
Climate & Climate Change,National Oceanography Centre,LEAD ORGANISATION,Margaret,Yelland,Climate & climate change,Closed,NERC,9/30/2009,Research Grant,Directed (Research Programmes),6/1/2009,47555.58
Med.Instrument.Device& Equip.,University of Warwick,LEAD ORGANISATION,Michael,Chappell,Medical & health interface,Closed,EPSRC,2/28/2010,Research Grant,Standard Research,6/1/2009,53193.7
Tools for the biosciences,National Institutes of Health (NIH),COLLABORATOR,Rachel,Errington,"Tools, technologies & methods",Closed,EPSRC,5/31/2010,Research Grant,Postdoctoral Mobility,6/1/2009,118279.66
Population Ecology,University of Exeter,LEAD ORGANISATION,John,Hunt,,Closed,NERC,5/31/2010,Research Grant,Small Grants (FEC),6/1/2009,28149.34
Sediment/Sedimentary Processes,Durham University,LEAD ORGANISATION,David,Selby,,Closed,NERC,5/31/2010,Research Grant,Small Grants (FEC),6/1/2009,35498.68
Catalysis & Applied Catalysis,University of St Andrews,LEAD ORGANISATION,Matthew,Clarke,Catalysis & surfaces,Closed,EPSRC,10/31/2010,Research Grant,Standard Research,6/1/2009,17962.66
Ecosystem Scale Processes,University of Bristol,PROJECT PARTNER,Patrick,Meir,Terrest. & freshwater environ.,Closed,NERC,12/31/2010,Research Grant,Directed (Research Programmes),6/1/2009,6084.97
Design of Process systems,Siemens Public Limited Company,PROJECT PARTNER,Jan,Maciejowski,,Closed,EPSRC,8/31/2011,Research Grant,Standard Research,6/1/2009,151568.91
Palaeoenvironments,Arabica Caving Club,COLLABORATOR,Anton,Vaks,Climate & climate change,Closed,NERC,5/31/2012,Fellowship,Postdoctoral Fellow (FEC),6/1/2009,299933.82
Light-Matter Interactions,Defence Science & Tech Lab DSTL,COFUNDER,Stephen,Barnett,Atomic & molecular physics,Closed,EPSRC,5/31/2012,Research Grant,Standard Research,6/1/2009,393573.49
Artificial Intelligence,University of Sheffield,LEAD ORGANISATION,Jon,Barker,,Closed,EPSRC,5/31/2012,Research Grant,Standard Research,6/1/2009,326244.86
Land - Ocean Interactions,Open University,LEAD ORGANISATION,Ian,Parkinson,,Closed,NERC,5/31/2012,Research Grant,Standard Grant (FEC),6/1/2009,300553.97
Ocean Circulation,University of Cambridge,LEAD ORGANISATION,Peter Howard,Haynes,,Closed,NERC,5/31/2012,Research Grant,Standard Grant (FEC),6/1/2009,8641.47
Palaeoenvironments,University of Cambridge,LEAD ORGANISATION,Jennifer,Clack,Climate & climate change,Closed,NERC,5/31/2012,Research Grant,Standard Grant (FEC),6/1/2009,158395.23
Instrumentation Eng. & Dev.,The University of Manchester,LEAD ORGANISATION,John,Vickerman,Chemical measurement,Closed,EPSRC,9/30/2012,Research Grant,Standard Research,6/1/2009,723469.84
Materials Characterisation,University of Nottingham,LEAD ORGANISATION,Richard,Brooks,Materials sciences,Closed,EPSRC,9/30/2012,Research Grant,Technology Programme,6/1/2009,144900.48
Power Systems Plant,Ipec Ltd,PROJECT PARTNER,Martin,Judd,,Closed,EPSRC,9/30/2012,Research Grant,Standard Research,6/1/2009,265764.19
Materials Characterisation,Milliken and Company,PROJECT PARTNER,Richard,Thompson,Materials sciences,Closed,EPSRC,10/10/2012,Research Grant,Standard Research,6/1/2009,328090.28
Complex fluids & soft solids,Durham University,LEAD ORGANISATION,Suzanne,Fielding,Catalysis & surfaces,Closed,EPSRC,10/31/2012,Fellowship,Advanced Fellowship,6/1/2009,322468.33
Modelling & simul. of IT sys.,Agility Design Solutions,COLLABORATOR,George,Constantinides,,Closed,EPSRC,11/30/2012,Research Grant,Standard Research,6/1/2009,527276.64
Optoelect. Devices & Circuits,University of Glasgow,LEAD ORGANISATION,Marc,Sorel,Electrical engineering,Closed,EPSRC,11/30/2012,Research Grant,Standard Research,6/1/2009,311222.81
Materials Characterisation,University of Salford,LEAD ORGANISATION,Keith,Ross,Materials sciences,Closed,EPSRC,11/30/2012,Research Grant,Standard Research,6/1/2009,369835.11
Lasers & Optics,University of St Andrews,LEAD ORGANISATION,Kishan,Dholakia,"Optics, photonics & lasers",Closed,EPSRC,11/30/2012,Research Grant,Standard Research,6/1/2009,376284.51
Conservation Ecology,University of St Andrews,LEAD ORGANISATION,Paddy,Pomeroy,,Closed,NERC,11/30/2012,Research Grant,Knowledge Exchange (FEC),6/1/2009,497473.77
Surfaces & Interfaces,Anasys Instruments Ltd,PROJECT PARTNER,Dagou,Zeze,Catalysis & surfaces,Closed,EPSRC,11/30/2012,Research Grant,Standard Research,6/1/2009,413443.52
Environmental Informatics,United Utilities Water Ltd,PROJECT PARTNER,Keith,Beven,,Closed,NERC,11/30/2012,Research Grant,Knowledge Exchange (FEC),6/1/2009,357495.22
Climate & Climate Change,NERC Centre for Ecology and Hydrology,LEAD ORGANISATION,Donald,Monteith,Climate & climate change,Closed,NERC,12/31/2012,Research Grant,Directed (Research Programmes),6/1/2009,172811.86
Plasmas - Laser & Fusion,University of Edinburgh,LEAD ORGANISATION,Joachim,Hein,Plasma physics,Closed,EPSRC,5/31/2013,Research Grant,Standard Research,6/1/2009,37288.66
Ocean - Atmosphere Interact.,University of Southampton,LEAD ORGANISATION,Neil,Wells,,Closed,NERC,10/1/2013,Research Grant,Directed (Research Programmes),6/1/2009,281436.54
Numerical Analysis,University of Southampton,LEAD ORGANISATION,Martyn,Hill,,Closed,EPSRC,11/17/2013,Research Grant,Standard Research,6/1/2009,606529.67
Palaeoenvironments,Royal Holloway; University of London,LEAD ORGANISATION,David,Mattey,Climate & climate change,Closed,NERC,11/30/2013,Research Grant,Standard Grant (FEC),6/1/2009,348141.88
Beyond the Standard Model,Istituto Nazionale di Fisica Nucleare - Genova,COLLABORATOR,Daniel,Watts,Particle physics - experiment,Closed,STFC,12/31/2013,Research Grant,Standard (FEC),6/1/2009,486304.36
Acoustics,University of Nottingham,LEAD ORGANISATION,Matthew,Clark,Mechanical engineering,Closed,EPSRC,5/31/2014,Research Grant,Platform Grants,6/1/2009,828355.54
Population Ecology,University of Reading,LEAD ORGANISATION,Kenneth,Norris,,Closed,NERC,7/31/2014,Research Grant,Theme Leader (FEC),6/1/2009,505594.86
Building Ops & Management,Institute of Education,LEAD ORGANISATION,Julie,Dockrell,,Closed,EPSRC,6/7/2012,Research Grant,Standard Research,6/8/2009,267557.23
Acoustics,University of Cambridge,LEAD ORGANISATION,Paul G.,Tucker,Mechanical engineering,Closed,EPSRC,12/7/2012,Research Grant,Standard Research,6/9/2009,90277.44
Fundamentals of Computing,University College London,LEAD ORGANISATION,Jens,Groth,Info. & commun. Technol.,Closed,EPSRC,9/9/2012,Research Grant,First Grant Scheme,6/10/2009,301725.87
Instrumentation Eng. & Dev.,University of Cambridge,LEAD ORGANISATION,Clemens,Kaminski,Chemical measurement,Closed,EPSRC,12/14/2010,Research Grant,Standard Research,6/15/2009,92504.57
Complex fluids & soft solids,University of Bath,LEAD ORGANISATION,Robert,Jack,Catalysis & surfaces,Closed,EPSRC,6/14/2011,Research Grant,First Grant Scheme,6/15/2009,187259.15
Electronic Devices & Subsys.,The University of Manchester,LEAD ORGANISATION,Huda Abdel Wahab,El Mubarek,Info. & commun. Technol.,Closed,EPSRC,12/14/2011,Research Grant,First Grant Scheme,6/15/2009,276051.26
Tectonic Processes,University of Colorado,COLLABORATOR,Gregory,Houseman,Geosciences,Closed,NERC,4/30/2013,Research Grant,Standard Grant (FEC),6/15/2009,585731.7
System on Chip,INCF (International Neuroinformatics Coordinating Facility),COLLABORATOR,David,Allerton,Info. & commun. Technol.,Closed,EPSRC,12/14/2014,Research Grant,Standard Research,6/15/2009,583692.54
Climate & Climate Change,Massachusetts Institute of Technology,PROJECT PARTNER,Myles,Allen,Climate & climate change,Closed,NERC,6/21/2014,Research Grant,Directed (Research Programmes),6/22/2009,334352.51
Aerodynamics,Cranfield University,LEAD ORGANISATION,John,Nicholls,Mechanical engineering,Closed,EPSRC,11/29/2013,Research Grant,Standard Research,6/26/2009,957485.51
Medical science & disease,Medical Research Council,COFUNDER,Phil,Coates,Medical & health interface,Closed,EPSRC,6/28/2012,Research Grant,Standard Research,6/29/2009,1245023.34
Condensed Matter Physics,University of Leeds,LEAD ORGANISATION,James,Speight,"Supercond, magn. &quant.fluids",Closed,EPSRC,12/26/2012,Research Grant,Standard Research,6/30/2009,217840.96
Quantum Optics & Information,Heriot-Watt University,LEAD ORGANISATION,Gerald,Buller,"Optics, photonics & lasers",Closed,EPSRC,12/29/2012,Research Grant,Standard Research,6/30/2009,348157.24
Beyond the Standard Model,University College London,LEAD ORGANISATION,Mary,Carter,Particle physics - experiment,Closed,STFC,9/30/2009,Research Grant,Standard (FEC),7/1/2009,22138.4
Catalysis & Applied Catalysis,University of Reading,LEAD ORGANISATION,Georg,Held,Catalysis & surfaces,Closed,EPSRC,12/31/2009,Research Grant,Overseas Travel Grants (OTGS),7/1/2009,6285.23
Beyond the Standard Model,University of Sheffield,LEAD ORGANISATION,Lee,Thompson,Particle physics - experiment,Closed,STFC,12/31/2009,Research Grant,Standard (FEC),7/1/2009,18015.22
Sediment/Sedimentary Processes,Durham University,LEAD ORGANISATION,Richard,Davies,,Closed,NERC,6/30/2010,Research Grant,Directed (Research Programmes),7/1/2009,71300.52
Extra-Galactic Astron.&Cosmol.,University of Oxford,LEAD ORGANISATION,Roger,Davies,,Closed,STFC,12/31/2010,Research Grant,Standard (FEC),7/1/2009,53516.24
Combustion,Loughborough University,LEAD ORGANISATION,Paul Ashley,Denman,,Closed,EPSRC,6/30/2011,Research Grant,Standard Research,7/1/2009,285582.01
Biogeochemical Cycles,Lamont Doherty Earth Observatory,PROJECT PARTNER,Mark,Rehkamper,,Closed,NERC,6/30/2011,Research Grant,Small Grants (FEC),7/1/2009,23204.91
Quaternary Science,University of Cambridge,PROJECT PARTNER,Simon,Jung,,Closed,NERC,12/31/2011,Research Grant,Directed (Research Programmes),7/1/2009,43815.24
Materials testing & eng.,University of Warwick,LEAD ORGANISATION,Steven,Dixon,Civil eng. & built environment,Closed,EPSRC,3/31/2012,Research Grant,Standard Research,7/1/2009,252122.01
Earth Resources,University of Edinburgh,LEAD ORGANISATION,Stuart,Gilfillan,,Closed,NERC,6/30/2012,Fellowship,Postdoctoral Fellow (FEC),7/1/2009,284711.57
Quaternary Science,University of Oxford,LEAD ORGANISATION,Jonathan,Tyler,,Closed,NERC,6/30/2012,Fellowship,Postdoctoral Fellow (FEC),7/1/2009,218404.81
Materials Characterisation,University of Southampton,LEAD ORGANISATION,James,Scanlan,Materials sciences,Closed,EPSRC,6/30/2012,Research Grant,Technology Programme,7/1/2009,175481.12
Medical science & disease,University of Hull,LEAD ORGANISATION,Jay,Wadhawan,Medical & health interface,Closed,EPSRC,6/30/2012,Research Grant,First Grant Scheme,7/1/2009,258574.89
Population Ecology,NERC Centre for Ecology and Hydrology,PROJECT PARTNER,Jane,Hill,,Closed,NERC,6/30/2012,Research Grant,Standard Grant (FEC),7/1/2009,287741.39
Nuclear structure,University of Jyvaskyla,PROJECT PARTNER,David Matthew,Cullen,Nuclear physics,Closed,STFC,6/30/2012,Research Grant,Standard (FEC),7/1/2009,300385.59
Biomaterials,University of Bristol,LEAD ORGANISATION,Bo,Su,Atomic & molecular physics,Closed,EPSRC,12/31/2012,Research Grant,Standard Research,7/1/2009,255287.45
Fundamentals of Computing,Imperial College London,LEAD ORGANISATION,Nobuko,Yoshida,Info. & commun. Technol.,Closed,EPSRC,12/31/2012,Research Grant,Standard Research,7/1/2009,344294.04
Fundamentals of Computing,Queen Mary; University of London,LEAD ORGANISATION,Kohei,Honda,Info. & commun. Technol.,Closed,EPSRC,12/31/2012,Research Grant,Standard Research,7/1/2009,342396.33
Cold Atomic Species,Durham University,LEAD ORGANISATION,Simon,Gardiner,Atomic & molecular physics,Closed,EPSRC,6/30/2013,Research Grant,Standard Research,7/1/2009,361077.07
Vision & Senses - ICT appl.,Aston University,LEAD ORGANISATION,Tim,Meese,Info. & commun. Technol.,Closed,EPSRC,6/30/2013,Research Grant,Standard Research,7/1/2009,622851.42
Climate & Climate Change,Cardiff University,LEAD ORGANISATION,Caroline,Lear,Climate & climate change,Closed,NERC,6/30/2013,Research Grant,Standard Grant (FEC),7/1/2009,55734.34
Materials Processing,Cornell University,PROJECT PARTNER,Henning,Sirringhaus,Materials processing,Closed,EPSRC,6/30/2013,Research Grant,Standard Research,7/1/2009,396249.66
Materials testing & eng.,University of Southampton,LEAD ORGANISATION,Robert James Knoyle,Wood,Civil eng. & built environment,Closed,EPSRC,12/30/2013,Research Grant,Standard Research,7/1/2009,639435.76
Magnetism/Magnetic Phenomena,University of Bristol,LEAD ORGANISATION,Stephen Brian,Dugdale,"Supercond, magn. &quant.fluids",Closed,EPSRC,10/5/2009,Research Grant,Overseas Travel Grants (OTGS),7/6/2009,11224.8
Chemical Synthetic Methodology,King's College London,LEAD ORGANISATION,Samjid,Mannan,,Closed,EPSRC,12/31/2012,Research Grant,Standard Research,7/6/2009,649672.91
Beyond the Standard Model,The University of Manchester,LEAD ORGANISATION,Stefan,Soldner-Rembold,Particle physics - experiment,Closed,STFC,10/6/2009,Research Grant,Standard (FEC),7/7/2009,17624.8
Palaeobiology,Humboldt University of Berlin,COLLABORATOR,John,Hutchinson,,Closed,NERC,7/8/2012,Research Grant,Standard Grant (FEC),7/9/2009,214472.25
Fuel Cell Technologies,King's College London,LEAD ORGANISATION,Francesca,Baletto,Energy,Closed,EPSRC,8/31/2014,Research Grant,First Grant Scheme,7/10/2009,398850.34
Pollution,University of Colorado at Boulder,PROJECT PARTNER,Parvadha,Suntharalingam,,Closed,NERC,8/11/2013,Research Grant,Standard Grant (FEC),7/12/2009,203601.54
Fundamentals of Computing,IBM United Kingdom Limited,PROJECT PARTNER,John,Derrick,Info. & commun. Technol.,Closed,EPSRC,10/12/2012,Research Grant,Standard Research,7/13/2009,318522.55
Control Engineering,University of Glasgow,LEAD ORGANISATION,Henrik,Gollee,,Closed,EPSRC,8/13/2012,Research Grant,Standard Research,7/14/2009,111349.64
Control Engineering,University of Birmingham,LEAD ORGANISATION,Martin,Lakie,,Closed,EPSRC,7/14/2012,Research Grant,Standard Research,7/15/2009,113625.68
Nuclear structure,University of the West of Scotland,LEAD ORGANISATION,John,Smith,Nuclear physics,Closed,STFC,12/15/2009,Research Grant,Standard (FEC),7/16/2009,10312.55
Materials Processing,Defence Science & Tech Lab DSTL,COFUNDER,Yanqiu,Zhu,Materials processing,Closed,EPSRC,7/31/2010,Research Grant,Standard Research,7/17/2009,482614.9
Aerodynamics,University of Southampton,LEAD ORGANISATION,Richard,Sandberg,Mechanical engineering,Closed,EPSRC,7/18/2014,Research Grant,Standard Research,7/19/2009,375528
Materials Synthesis & Growth,Newcastle University,LEAD ORGANISATION,Anthony,Harriman,Materials sciences,Closed,EPSRC,7/19/2013,Research Grant,Standard Research,7/20/2009,477854.74
Climate & Climate Change,Scottish Association For Marine Science,LEAD ORGANISATION,Toby,Sherwin,Climate & climate change,Closed,NERC,7/21/2012,Research Grant,Directed (Research Programmes),7/22/2009,19668.16
Climate & Climate Change,NERC British Geological Survey,LEAD ORGANISATION,Sev,Kender,Climate & climate change,Closed,NERC,3/2/2010,Research Grant,Directed (Research Programmes),7/31/2009,13314.4
Nuclear structure,University of Liverpool,LEAD ORGANISATION,Helen,Boston,Nuclear physics,Closed,STFC,9/30/2009,Research Grant,Standard (FEC),8/1/2009,5627.19
Software Engineering,University of Leicester,LEAD ORGANISATION,Christopher,Edwards,,Closed,EPSRC,7/31/2010,Research Grant,Standard Research,8/1/2009,86467.68
Materials Characterisation,University of Leeds,LEAD ORGANISATION,Fiona,Meldrum,Materials sciences,Closed,EPSRC,9/30/2010,Research Grant,Standard Research,8/1/2009,98004.25
Materials Characterisation,University of Sheffield,LEAD ORGANISATION,Nigel,Allinson,Materials sciences,Closed,EPSRC,1/1/2011,Research Grant,Standard Research,8/1/2009,1195473.22
New & Emerging Comp. Paradigms,Royal Holloway; University of London,LEAD ORGANISATION,Koenraad,Audenaert,Info. & commun. Technol.,Closed,EPSRC,7/31/2011,Research Grant,First Grant Scheme,8/1/2009,216654.56
RF & Microwave Technology,Medical Research Council,COFUNDER,Cheng-Xiang,Wang,Info. & commun. Technol.,Closed,EPSRC,7/31/2012,Research Grant,Standard Research,8/1/2009,907554.33
Microsystems,University of Southampton,LEAD ORGANISATION,Richard,Brown,Info. & commun. Technol.,Closed,EPSRC,7/31/2012,Research Grant,Standard Research,8/1/2009,380794.15
Materials Characterisation,University of Sheffield,LEAD ORGANISATION,Thomas,Schrefl,Materials sciences,Closed,EPSRC,7/31/2012,Research Grant,Standard Research,8/1/2009,80487.17
Mathematical Physics,Cardiff University,LEAD ORGANISATION,Uzy,Smilansky,Mathematical sciences,Closed,EPSRC,7/31/2012,Research Grant,Standard Research,8/1/2009,309922.96
Climate & Climate Change,University of Strathclyde,LEAD ORGANISATION,GR,Carvalho,Climate & climate change,Closed,NERC,7/31/2012,Research Grant,Directed (Research Programmes),8/1/2009,114363.47
VLSI Design,Newcastle University,LEAD ORGANISATION,Victor,Khomenko,Info. & commun. Technol.,Closed,EPSRC,10/31/2012,Research Grant,Standard Research,8/1/2009,412143.49
Coastal & Waterway Engineering,Cardiff University,LEAD ORGANISATION,Binliang,Lin,,Closed,EPSRC,12/31/2012,Research Grant,Standard Research,8/1/2009,305745.89
Materials Synthesis & Growth,Akita,COLLABORATOR,Thomas,Thomson,Materials sciences,Closed,EPSRC,1/31/2013,Research Grant,Standard Research,8/1/2009,648429.14
Materials Characterisation,Johns Hopkins University,PROJECT PARTNER,Naomi,Chayen,Materials sciences,Closed,EPSRC,1/31/2013,Research Grant,Standard Research,8/1/2009,333823.03
Climate & Climate Change,University of Leeds,LEAD ORGANISATION,Andrew,Shepherd,Climate & climate change,Closed,NERC,2/28/2013,Research Grant,AFI (FEC),8/1/2009,248505.75
Tissue engineering,The University of Manchester,LEAD ORGANISATION,Rachel,Saunders,Medical & health interface,Closed,EPSRC,7/31/2013,Fellowship,Postdoc Research Fellowship,8/1/2009,253565.73
Chemical Synthetic Methodology,European Synch Radiation Facility - ESRF,PROJECT PARTNER,Adam,Lee,,Closed,EPSRC,7/31/2013,Fellowship,Leadership Fellowships,8/1/2009,1532389.19
Materials Processing,Defence Science & Tech Lab DSTL,COFUNDER,Richard,Todd,Materials processing,Closed,EPSRC,7/31/2013,Research Grant,Standard Research,8/1/2009,486796.29
Materials Characterisation,Imperial College London,LEAD ORGANISATION,David,McPhail,Materials sciences,Closed,EPSRC,7/31/2013,Research Grant,Standard Research,8/1/2009,2320824.1
Particle Technology,Sellafield Ltd,PROJECT PARTNER,Mojtaba,Ghadiri,Materials processing,Closed,EPSRC,7/31/2013,Research Grant,Standard Research,8/1/2009,356956.95
Electronic Devices & Subsys.,University of Edinburgh,LEAD ORGANISATION,Rebecca,Cheung,Info. & commun. Technol.,Closed,EPSRC,1/31/2014,Research Grant,Standard Research,8/1/2009,868884.86
Materials Characterisation,University of St Andrews,LEAD ORGANISATION,P,Bruce,Materials sciences,Closed,EPSRC,1/31/2014,Research Grant,Programme Grants,8/1/2009,1877074.65
Optical Phenomena,Lawrence Berkeley National Laboratory,PROJECT PARTNER,Simon Martin,Hooker,"Optics, photonics & lasers",Closed,EPSRC,3/31/2014,Research Grant,Standard Research,8/1/2009,1310093.32
High Performance Computing,Orange France Telecom,PROJECT PARTNER,Nigel,Brown,"Tools, technologies & methods",Closed,EPSRC,7/31/2014,Research Grant,Science and Innovation Awards,8/1/2009,4550813.8
Sustainable Energy Vectors,King's College London,LEAD ORGANISATION,Karen,Bickerstaff,Energy,Closed,EPSRC,1/2/2012,Research Grant,Network,8/3/2009,454068.85
Drug Formulation & Delivery,University of Birmingham,LEAD ORGANISATION,Rachel Helen,Bridson,Medical & health interface,Closed,EPSRC,8/2/2012,Research Grant,First Grant Scheme,8/3/2009,307205.89
Climate & Climate Change,National Oceanography Centre,PROJECT PARTNER,Joanna,Szmelter,Climate & climate change,Closed,NERC,8/4/2012,Research Grant,Standard Grant (FEC),8/5/2009,251245.09
Materials Processing,The University of Manchester,LEAD ORGANISATION,Brian,Saunders,Materials processing,Closed,EPSRC,8/9/2011,Research Grant,Standard Research,8/10/2009,220742.04
Materials Characterisation,University of Western Australia,PROJECT PARTNER,Christopher,Marrows,Materials sciences,Closed,EPSRC,6/10/2011,Research Grant,Overseas Travel Grants (OTGS),8/11/2009,36398.52
Beyond the Standard Model,University of Sheffield,LEAD ORGANISATION,Lee,Thompson,Particle physics - experiment,Closed,STFC,5/13/2010,Research Grant,Standard (FEC),8/14/2009,21592
Atmospheric Kinetics,University of Birmingham,LEAD ORGANISATION,William,Bloss,Atmospheric phys. & chemistry,Closed,NERC,2/13/2011,Research Grant,Small Grants (FEC),8/14/2009,35831.84
Catalysis & Applied Catalysis,The University of Manchester,LEAD ORGANISATION,Philip A,Martin,Catalysis & surfaces,Closed,EPSRC,5/31/2013,Research Grant,Standard Research,8/16/2009,325237.87
Materials Characterisation,University of Leeds,LEAD ORGANISATION,Fiona,Meldrum,Materials sciences,Closed,EPSRC,8/19/2012,Research Grant,Standard Research,8/20/2009,321751.47
Optoelect. Devices & Circuits,Sandia Laboratories,COLLABORATOR,Oleg,Mitrofanov,Electrical engineering,Closed,EPSRC,2/27/2013,Research Grant,First Grant Scheme,8/28/2009,305141.3
Land - Ocean Interactions,University of Cambridge,LEAD ORGANISATION,Poul,Christoffersen,,Closed,NERC,2/27/2013,Research Grant,Standard Grant (FEC),8/28/2009,93018.15
Electronic Devices & Subsys.,University of Warwick,LEAD ORGANISATION,David,Leadley,Info. & commun. Technol.,Closed,EPSRC,8/29/2012,Research Grant,Standard Research,8/30/2009,140075.67
Nuclear structure,University of Liverpool,LEAD ORGANISATION,Edward,Paul,Nuclear physics,Closed,STFC,11/30/2009,Research Grant,Standard (FEC),9/1/2009,12196.39
Digital Signal Processing,Defence Science & Tech Lab DSTL,COFUNDER,Alessandro,Astolfi,Info. & commun. Technol.,Closed,EPSRC,8/31/2010,Research Grant,Standard Research,9/1/2009,109252.3
Complex fluids & soft solids,University of Edinburgh,LEAD ORGANISATION,Wilson,Poon,Catalysis & surfaces,Closed,EPSRC,8/31/2010,Research Grant,Follow on Fund,9/1/2009,86434.37
Catalysis & Applied Catalysis,Sasol Technology,PROJECT PARTNER,Graham,Hutchings,Catalysis & surfaces,Closed,EPSRC,8/31/2010,Research Grant,Follow on Fund,9/1/2009,141575.15
Catalysis & Applied Catalysis,Carnegie Mellon University,PROJECT PARTNER,Erwin,Reisner,Catalysis & surfaces,Closed,EPSRC,10/1/2010,Fellowship,Career Acceleration Fellowship,9/1/2009,745769.09
Surfaces & Interfaces,Argonne National Laboratory (ANL),COLLABORATOR,Anatoly,Zayats,Catalysis & surfaces,Closed,EPSRC,10/1/2010,Research Grant,Programme Grants,9/1/2009,5176637.22
Medical Imaging,University of Greenwich,LEAD ORGANISATION,Yifan,Chen,"Tools, technologies & methods",Closed,EPSRC,10/1/2010,Research Grant,First Grant Scheme,9/1/2009,179835.26
Theoretical biology,University of Warwick,LEAD ORGANISATION,Robert,MacKay,"Tools, technologies & methods",Closed,EPSRC,8/31/2011,Research Grant,Standard Research,9/1/2009,243956.14
Energy Efficiency,Siemens Public Limited Company,PROJECT PARTNER,Hong,Wang,Energy,Closed,EPSRC,11/30/2011,Research Grant,Standard Research,9/1/2009,300179.01
Heat & Mass Transfer,Tata Steel UK,PROJECT PARTNER,V,Sharifi,Mechanical engineering,Closed,EPSRC,12/31/2011,Research Grant,Standard Research,9/1/2009,330996.67
Biogeochemical Cycles,University of Exeter,LEAD ORGANISATION,Luiz,Aragao,,Closed,NERC,2/29/2012,Fellowship,Postdoctoral Fellow (FEC),9/1/2009,202672.42
Mathematical Physics,University of Warwick,COLLABORATOR,Alexander,Ossipov,Mathematical sciences,Closed,EPSRC,2/29/2012,Research Grant,First Grant Scheme,9/1/2009,152509.41
Acoustics,University of Salford,LEAD ORGANISATION,Andrew,Moorhouse,Mechanical engineering,Closed,EPSRC,2/29/2012,Research Grant,Standard Research,9/1/2009,253248.39
Electric Motor & Drive Systems,University of Sheffield,LEAD ORGANISATION,Zi-Qiang,Zhu,Electrical engineering,Closed,EPSRC,8/31/2012,Research Grant,Technology Programme,9/1/2009,313502.86
Materials Characterisation,University of Nottingham,LEAD ORGANISATION,Sergei,Novikov,Materials sciences,Closed,EPSRC,8/31/2012,Research Grant,Standard Research,9/1/2009,356349.52
Medical science & disease,University of Sheffield,LEAD ORGANISATION,Nigel,Bird,Medical & health interface,Closed,EPSRC,8/31/2012,Research Grant,Standard Research,9/1/2009,34104.05
Ocean - Atmosphere Interact.,University of Liverpool,LEAD ORGANISATION,Stephen,Belcher,,Closed,NERC,8/31/2012,Research Grant,Standard Grant (FEC),9/1/2009,93925.25
Image & Vision Computing,Queen Mary; University of London,LEAD ORGANISATION,Tao,Xiang,Info. & commun. Technol.,Closed,EPSRC,10/31/2012,Research Grant,First Grant Scheme,9/1/2009,350506.79
Materials testing & eng.,Rolls Royce Group Plc,COLLABORATOR,Haofeng,Chen,Civil eng. & built environment,Closed,EPSRC,12/31/2012,Research Grant,First Grant Scheme,9/1/2009,307257.4
Properties Of Earth Materials,Open University,LEAD ORGANISATION,Clare,Warren,,Closed,NERC,12/31/2012,Research Grant,Small Grants (FEC),9/1/2009,79933.11
Materials Processing,Defence Science & Tech Lab DSTL,COFUNDER,Lorenzo,Iannucci,Materials processing,Closed,EPSRC,2/28/2013,Research Grant,Standard Research,9/1/2009,1171663.34
Optical Devices & Subsystems,Coherent,COLLABORATOR,Allister,Ferguson,Electrical engineering,Closed,EPSRC,2/28/2013,Research Grant,Standard Research,9/1/2009,1578619.65
Information & Knowledge Mgmt,University of Warwick,LEAD ORGANISATION,Artur,Czumaj,,Closed,EPSRC,2/28/2013,Research Grant,Standard Research,9/1/2009,296846.15
Fundamentals of Computing,University of Nottingham,LEAD ORGANISATION,Thorsten,Altenkirch,Info. & commun. Technol.,Closed,EPSRC,2/28/2013,Research Grant,Standard Research,9/1/2009,106669.86
Modelling & simul. of IT sys.,Agility Design Solutions,PROJECT PARTNER,Jan,Maciejowski,,Closed,EPSRC,2/28/2013,Research Grant,Standard Research,9/1/2009,314874.35
Separation processes,European Synch Radiation Facility - ESRF,PROJECT PARTNER,Andrew,Livingston,,Closed,EPSRC,2/28/2013,Research Grant,Standard Research,9/1/2009,616936.74
Optoelect. Devices & Circuits,University of Duisburg-Essen,PROJECT PARTNER,Manus,Hayne,Electrical engineering,Closed,EPSRC,2/28/2013,Research Grant,Standard Research,9/1/2009,294744.65
Materials testing & eng.,University of Strathclyde,LEAD ORGANISATION,Gordon,Hayward,Civil eng. & built environment,Closed,EPSRC,8/31/2013,Research Grant,Standard Research,9/1/2009,1010648.35
High Performance Computing,University of Edinburgh,LEAD ORGANISATION,Arthur,Trew,"Tools, technologies & methods",Closed,EPSRC,8/31/2013,Research Grant,Standard Research,9/1/2009,181173.02
Information & Knowledge Mgmt,University of Edinburgh,LEAD ORGANISATION,Leonid,Libkin,,Closed,EPSRC,11/30/2013,Research Grant,Standard Research,9/1/2009,565505.12
Optical Phenomena,Imperial College London,LEAD ORGANISATION,Christopher,Phillips,"Optics, photonics & lasers",Closed,EPSRC,2/28/2014,Research Grant,Standard Research,9/1/2009,1185767.57
Fuel Cell Technologies,Rolls-Royce plc,PROJECT PARTNER,Keith,Scott,Energy,Closed,EPSRC,2/28/2014,Research Grant,Standard Research,9/1/2009,3577942.26
Chemical Synthetic Methodology,University of Liverpool,LEAD ORGANISATION,P.,Evans,,Closed,EPSRC,11/30/2014,Research Grant,Standard Research,9/1/2009,516723.69
